Month,Mdate,Time,hourly_counts
May,16,11,2063.0
May,16,12,3049.0
May,16,13,3263.0
May,16,14,2721.0
May,16,15,2825.0
May,16,16,2779.0
May,16,17,3293.0
May,16,18,2582.0
May,16,19,1734.0
May,16,20,1207.0
May,16,21,969.0
May,16,22,549.0
May,16,23,398.0
May,17,0,186.0
May,17,1,90.0
May,17,2,63.0
May,17,3,33.0
May,17,4,47.0
May,17,5,59.0
May,17,6,248.0
May,17,7,493.0
May,17,8,1017.0
May,17,9,1120.0
May,17,10,1622.0
May,17,11,1943.0
May,17,12,3012.0
May,17,13,3367.0
May,17,14,2559.0
May,17,15,2641.0
May,17,16,2780.0
May,17,17,3257.0
May,17,18,2588.0
May,17,19,1825.0
May,17,20,1355.0
May,17,21,1141.0
May,17,22,733.0
May,17,23,396.0
May,18,0,177.0
May,18,1,128.0
May,18,2,114.0
May,18,3,53.0
May,18,4,47.0
May,18,5,110.0
May,18,6,210.0
May,18,7,462.0
May,18,8,999.0
May,18,9,1204.0
May,18,10,1543.0
May,18,11,2031.0
May,18,12,3095.0
May,18,13,3566.0
May,18,14,3058.0
May,18,15,2869.0
May,18,16,3026.0
May,18,17,3540.0
May,18,18,3386.0
May,18,19,2477.0
May,18,20,2117.0
May,18,21,1994.0
May,18,22,1712.0
May,18,23,1217.0
May,19,0,1211.0
May,19,1,574.0
May,19,2,335.0
May,19,3,181.0
May,19,4,121.0
May,19,5,105.0
May,19,6,123.0
May,19,7,223.0
May,19,8,478.0
May,19,9,962.0
May,19,10,1613.0
May,19,11,2347.0
May,19,12,3135.0
May,19,13,3698.0
May,19,14,3499.0
May,19,15,3519.0
May,19,16,3511.0
May,19,17,3231.0
May,19,18,2644.0
May,19,19,2416.0
May,19,20,1821.0
May,19,21,1504.0
May,19,22,1227.0
May,19,23,1179.0
May,20,0,1020.0
May,20,1,644.0
May,20,2,419.0
May,20,3,259.0
May,20,4,176.0
May,20,5,127.0
May,20,6,163.0
May,20,7,179.0
May,20,8,329.0
May,20,9,686.0
May,20,10,1186.0
May,20,11,1931.0
May,20,12,2305.0
May,20,13,2730.0
May,20,14,2785.0
May,20,15,2619.0
May,20,16,2607.0
May,20,17,2330.0
May,20,18,1567.0
May,20,19,1462.0
May,20,20,959.0
May,20,21,754.0
May,20,22,527.0
May,20,23,262.0
May,21,0,148.0
May,21,1,63.0
May,21,2,46.0
May,21,3,20.0
May,21,4,34.0
May,21,5,61.0
May,21,6,173.0
May,21,7,426.0
May,21,8,1073.0
May,21,9,1131.0
May,21,10,1552.0
May,21,11,1855.0
May,21,12,3067.0
May,21,13,3125.0
May,21,14,2801.0
May,21,15,2505.0
May,21,16,2660.0
May,21,17,2943.0
May,21,18,2317.0
May,21,19,1493.0
May,21,20,1113.0
May,21,21,782.0
May,21,22,477.0
May,21,23,201.0
May,22,0,118.0
May,22,1,53.0
May,22,2,30.0
May,22,3,29.0
May,22,4,37.0
May,22,5,86.0
May,22,6,322.0
May,22,7,497.0
May,22,8,1160.0
May,22,9,1195.0
May,22,10,1551.0
May,22,11,1879.0
May,22,12,2888.0
May,22,13,3176.0
May,22,14,2555.0
May,22,15,2663.0
May,22,16,2778.0
May,22,17,2986.0
May,22,18,2226.0
May,22,19,1461.0
May,22,20,1084.0
May,22,21,748.0
May,22,22,550.0
May,22,23,221.0
May,23,0,106.0
May,23,1,69.0
May,23,2,36.0
May,23,3,26.0
May,23,4,36.0
May,23,5,92.0
May,23,6,180.0
May,23,7,527.0
May,23,8,1181.0
May,23,9,1215.0
May,23,10,1658.0
May,23,11,2103.0
May,23,12,3068.0
May,23,13,3296.0
May,23,14,2812.0
May,23,15,2786.0
May,23,16,2926.0
May,23,17,3279.0
May,23,18,2574.0
May,23,19,1726.0
May,23,20,1322.0
May,23,21,924.0
May,23,22,624.0
May,23,23,371.0
May,24,0,138.0
May,24,1,89.0
May,24,2,41.0
May,24,3,24.0
May,24,4,42.0
May,24,5,81.0
May,24,6,189.0
May,24,7,490.0
May,24,8,1191.0
May,24,9,1231.0
May,24,10,1527.0
May,24,11,2032.0
May,24,12,3093.0
May,24,13,3378.0
May,24,14,2862.0
May,24,15,2922.0
May,24,16,2896.0
May,24,17,3448.0
May,24,18,2836.0
May,24,19,1920.0
May,24,20,1586.0
May,24,21,1101.0
May,24,22,714.0
May,24,23,383.0
May,25,0,207.0
May,25,1,134.0
May,25,2,71.0
May,25,3,70.0
May,25,4,48.0
May,25,5,74.0
May,25,6,204.0
May,25,7,440.0
May,25,8,1155.0
May,25,9,1263.0
May,25,10,1647.0
May,25,11,2230.0
May,25,12,3192.0
May,25,13,3459.0
May,25,14,2927.0
May,25,15,3146.0
May,25,16,3343.0
