Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2017,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Private,4,144.9668768,-37.81259409,"(-37.81259409, 144.9668768)"
2017,546,101002,101002,4 Belmont Road,Kensington,Residential,1,144.9236301,-37.79285547,"(-37.79285547, 144.9236301)"
2017,430,108424,108424,194-208 Rosslyn Street,West Melbourne (Residential),Private,8,144.9480692,-37.80958363,"(-37.80958363, 144.9480692)"
2017,608,104280,104280,96-106 George Street,East Melbourne,Residential,2,144.9870917,-37.81512272,"(-37.81512272, 144.9870917)"
2017,529,558187,558187,56 Wakefield Street,Kensington,Residential,1,144.9196032,-37.79761096,"(-37.79761096, 144.9196032)"
2017,527,565512,565512,18-20 Newton Street,Kensington,Residential,1,144.9220586,-37.79654311,"(-37.79654311, 144.9220586)"
2017,243,104460,104460,179 Grattan Street,Carlton,Private,2,144.9629429,-37.80055752,"(-37.80055752, 144.9629429)"
2017,720,108629,108629,427-431 St Kilda Road,Melbourne (Remainder),Private,100,144.9771931,-37.83854242,"(-37.83854242, 144.9771931)"
2017,567,105074,105074,15 Howlett Street,Kensington,Residential,1,144.9223481,-37.79036217,"(-37.79036217, 144.9223481)"
2017,911,103781,103781,94 Fitzgibbon Street,Parkville,Residential,1,144.9573199,-37.79383113,"(-37.79383113, 144.9573199)"
2017,306,103536,103536,23 Erskine Street,North Melbourne,Residential,2,144.9441999,-37.79516894,"(-37.79516894, 144.9441999)"
2017,1110,593729,593729,82-94 Waterfront Way,Docklands,Commercial,2203,144.9392918,-37.81232328,"(-37.81232328, 144.9392918)"
2017,618,104256,104256,179-183 George Street,East Melbourne,Residential,10,144.9843808,-37.8153865,"(-37.8153865, 144.9843808)"
2017,353,100097,100097,484 Abbotsford Street,North Melbourne,Residential,1,144.9471814,-37.79485567,"(-37.79485567, 144.9471814)"
2017,67,105679,105679,131-137 Lonsdale Street,Melbourne (CBD),Commercial,56,144.96853,-37.81098009,"(-37.81098009, 144.96853)"
2017,327,104581,104581,55-59 Haines Street,North Melbourne,Residential,16,144.9471078,-37.79892962,"(-37.79892962, 144.9471078)"
2017,2531,615651,615651,225-233 Racecourse Road,Kensington,Private,16,144.9335138,-37.78876522,"(-37.78876522, 144.9335138)"
2017,603,102406,102406,10 Darling Street,East Melbourne,Residential,1,144.9900018,-37.81318382,"(-37.81318382, 144.9900018)"
2017,344,109773,109773,614-616 Victoria Street,North Melbourne,Residential,1,144.9459507,-37.80441487,"(-37.80441487, 144.9459507)"
2017,923,104145,104145,162 Gatehouse Street,Parkville,Residential,1,144.9555843,-37.79346782,"(-37.79346782, 144.9555843)"
2017,101,105327,105327,407-415 King Street,West Melbourne (Residential),Private,9,144.9527247,-37.81068358,"(-37.81068358, 144.9527247)"
2017,604,105000,105000,52 Hotham Street,East Melbourne,Residential,2,144.9887048,-37.81424268,"(-37.81424268, 144.9887048)"
2017,858,109507,109507,180W-182W Toorak Road,South Yarra,Residential,2,144.9861014,-37.83802589,"(-37.83802589, 144.9861014)"
2017,917,106753,106753,45 Morrah Street,Parkville,Residential,1,144.9560611,-37.79587413,"(-37.79587413, 144.9560611)"
2017,434,110125,110125,464-468 William Street,West Melbourne (Residential),Private,7,144.9543645,-37.80654727,"(-37.80654727, 144.9543645)"
2017,337,111382,111382,99-101 Munster Terrace,North Melbourne,Private,5,144.942587,-37.80106478,"(-37.80106478, 144.942587)"
2017,307,101751,101751,7-9 Carroll Street,North Melbourne,Residential,7,144.9454692,-37.79584235,"(-37.79584235, 144.9454692)"
2017,543,100907,100907,89 Bayswater Road,Kensington,Residential,2,144.9215256,-37.79452885,"(-37.79452885, 144.9215256)"
2017,564,110770,110770,53-55 Stockmans Way,Kensington,Residential,1,144.9214956,-37.79207489,"(-37.79207489, 144.9214956)"
2017,229,101464,101464,184 Canning Street,Carlton,Residential,1,144.9738523,-37.79414686,"(-37.79414686, 144.9738523)"
2017,927,106418,106418,66 Manningham Street,Parkville,Residential,1,144.9422214,-37.7864908,"(-37.7864908, 144.9422214)"
2017,335,102917,102917,234 Dryburgh Street,North Melbourne,Residential,1,144.9441527,-37.80108262,"(-37.80108262, 144.9441527)"
2017,409,105084,105084,108-116 Ireland Street,West Melbourne (Residential),Residential,7,144.9425998,-37.80626814,"(-37.80626814, 144.9425998)"
2017,539,104828,104828,47-63 Hobsons Road,Kensington,Private,38,144.9174118,-37.79684432,"(-37.79684432, 144.9174118)"
2017,415,100235,100235,220 Adderley Street,West Melbourne (Residential),Residential,1,144.945082,-37.80811507,"(-37.80811507, 144.945082)"
2017,861,106653,106653,92-96 Millswyn Street,South Yarra,Residential,3,144.9807383,-37.83520686,"(-37.83520686, 144.9807383)"
2017,2508,618154,618154,21 Calwell Street,Kensington,Residential,1,144.927287,-37.78865203,"(-37.78865203, 144.927287)"
2017,927,106407,106407,101-105 Manningham Street,Parkville,Residential,11,144.9413046,-37.78447232,"(-37.78447232, 144.9413046)"
2017,403,109753,109753,473-479 Victoria Street,West Melbourne (Residential),Private,14,144.9439076,-37.804858,"(-37.804858, 144.9439076)"
2017,656,105147,105147,32-34 Jolimont Terrace,East Melbourne,Private,5,144.9814677,-37.81808826,"(-37.81808826, 144.9814677)"
2017,538,109434,109434,1-3 Tankard Street,Kensington,Residential,1,144.9199756,-37.79587129,"(-37.79587129, 144.9199756)"
2017,331,645708,645708,28 Little Baillie Street,North Melbourne,Residential,1,144.9471185,-37.80117714,"(-37.80117714, 144.9471185)"
2017,502,103001,103001,330-374 Dynon Road,West Melbourne (Industrial),Private,13,144.9188939,-37.80149523,"(-37.80149523, 144.9188939)"
2017,1110,620308,593737,432-446 Docklands Drive,Docklands,Residential,79,144.9378299,-37.81315031,"(-37.81315031, 144.9378299)"
2017,920,104437,104437,300-328 Grattan Street,Parkville,Commercial,909,144.9559628,-37.79854141,"(-37.79854141, 144.9559628)"
2017,862,102562,102562,54-58 Domain Street,South Yarra,Residential,2,144.978734,-37.83589544,"(-37.83589544, 144.978734)"
2017,221,101717,101717,88 Carlton Street,Carlton,Residential,1,144.9711418,-37.80067559,"(-37.80067559, 144.9711418)"
2017,266,101703,101703,58-80 Cardigan Street,Carlton,Private,3,144.964975,-37.80515585,"(-37.80515585, 144.964975)"
2017,748,110445,110445,21-23 Coventry Street,Southbank,Private,58,144.9702823,-37.82925832,"(-37.82925832, 144.9702823)"
2017,28,102059,102059,13-15 Collins Street,Melbourne (CBD),Private,52,144.9733552,-37.81383756,"(-37.81383756, 144.9733552)"
2017,780,110590,110590,158-222 Salmon Street,Port Melbourne,Private,200,144.9234588,-37.82590307,"(-37.82590307, 144.9234588)"
2017,2525,671648,671648,81 Eastwood Street,Kensington,Residential,1,144.9305688,-37.79164027,"(-37.79164027, 144.9305688)"
2017,538,103644,103644,51-53 Fairbairn Drive,Kensington,Residential,1,144.9194579,-37.79628017,"(-37.79628017, 144.9194579)"
2017,869,107348,107348,21-31 Park Lane,South Yarra,Residential,42,144.9842856,-37.8449781,"(-37.8449781, 144.9842856)"
2017,922,107240,107240,13 Park Drive,Parkville,Residential,1,144.9527681,-37.79711876,"(-37.79711876, 144.9527681)"
2017,561,111295,110283,5 Vincent Place,Kensington,Residential,2,144.9206305,-37.7926604,"(-37.7926604, 144.9206305)"
2017,111,102947,102947,27-31 Dudley Street,West Melbourne (Residential),Private,3,144.9515747,-37.8098994,"(-37.8098994, 144.9515747)"
2017,807,108055,108055,58-82 Queens Bridge Street,Southbank,Private,78,144.9598504,-37.82440928,"(-37.82440928, 144.9598504)"
2017,657,101079,101079,34 Berry Street,East Melbourne,Residential,2,144.9889792,-37.81845894,"(-37.81845894, 144.9889792)"
2017,543,558077,558077,9 Mercantile Parade,Kensington,Residential,1,144.920373,-37.79524466,"(-37.79524466, 144.920373)"
2017,210,101639,101639,394 Cardigan Street,Carlton,Residential,1,144.9667974,-37.79504551,"(-37.79504551, 144.9667974)"
2017,516,107011,107011,21 Ormond Street,Kensington,Residential,1,144.9301588,-37.79719409,"(-37.79719409, 144.9301588)"
2017,773,560261,560261,50-56 Lorimer Street,Docklands,Residential,250,144.9476471,-37.82461477,"(-37.82461477, 144.9476471)"
2017,267,102609,102609,17 Drummond Street,Carlton,Private,6,144.9670082,-37.80650806,"(-37.80650806, 144.9670082)"
